Word{word='the', frequency=34545}
Word{word='and', frequency=22213}
Word{word='to', frequency=16673}
Word{word='of', frequency=14885}
Word{word='a', frequency=10540}
Word{word='he', frequency=9869}
Word{word='in', frequency=8779}
Word{word='his', frequency=7984}
Word{word='that', frequency=7892}
Word{word='was', frequency=7359}
Word{word='with', frequency=5663}
Word{word='had', frequency=5365}
Word{word='it', frequency=5219}
Word{word='her', frequency=4725}
Word{word='not', frequency=4675}
Word{word='him', frequency=4637}
Word{word='at', frequency=4532}
Word{word='i', frequency=4153}
Word{word='but', frequency=4050}
Word{word='as', frequency=4026}
Word{word='on', frequency=4002}
Word{word='you', frequency=3600}
Word{word='for', frequency=3519}
Word{word='she', frequency=3422}
Word{word='is', frequency=3321}
Word{word='said', frequency=2842}
Word{word='all', frequency=2785}
Word{word='from', frequency=2694}
Word{word='were', frequency=2451}
Word{word='be', frequency=2439}
Word{word='by', frequency=2383}
Word{word='what', frequency=2330}
Word{word='they', frequency=2178}
Word{word='who', frequency=2148}
Word{word='this', frequency=2075}
Word{word='one', frequency=2061}
Word{word='which', frequency=2057}
Word{word='have', frequency=1976}
Word{word='prince', frequency=1891}
Word{word='so', frequency=1863}
Word{word='pierre', frequency=1796}
Word{word='an', frequency=1629}
Word{word='up', frequency=1553}
Word{word='them', frequency=1529}
Word{word='or', frequency=1524}
Word{word='when', frequency=1496}
Word{word='did', frequency=1485}
Word{word='been', frequency=1476}
Word{word='there', frequency=1476}
Word{word='their', frequency=1440}
Word{word='no', frequency=1400}
Word{word='would', frequency=1365}
Word{word='now', frequency=1333}
Word{word='only', frequency=1298}
Word{word='if', frequency=1294}
Word{word='me', frequency=1274}
Word{word='are', frequency=1270}
Word{word='out', frequency=1233}
Word{word='my', frequency=1226}
Word{word='could', frequency=1115}
Word{word='natasha', frequency=1099}
Word{word='man', frequency=1084}
Word{word='will', frequency=1061}
Word{word='more', frequency=1054}
Word{word='andrew', frequency=1047}
Word{word='do', frequency=1038}
Word{word='himself', frequency=1020}
Word{word='about', frequency=1011}
Word{word='into', frequency=1004}
Word{word='how', frequency=999}
Word{word='we', frequency=966}
Word{word='its', frequency=948}
Word{word='then', frequency=941}
Word{word='time', frequency=928}
Word{word='princess', frequency=916}
Word{word='face', frequency=893}
Word{word='french', frequency=879}
Word{word='went', frequency=862}
Word{word='know', frequency=846}
Word{word='some', frequency=846}
Word{word='after', frequency=836}
Word{word='before', frequency=830}
Word{word='eyes', frequency=827}
Word{word='your', frequency=811}
Word{word='old', frequency=805}
Word{word='very', frequency=803}
Word{word='men', frequency=771}
Word{word='thought', frequency=767}
Word{word='room', frequency=758}
Word{word='well', frequency=756}
Word{word='go', frequency=755}
Word{word='like', frequency=744}
Word{word='see', frequency=731}
Word{word='rostov', frequency=719}
Word{word='began', frequency=718}
Word{word='moscow', frequency=718}
Word{word='again', frequency=709}
Word{word='has', frequency=706}
Word{word='down', frequency=691}
Word{word='came', frequency=683}
Word{word='come', frequency=683}
Word{word='still', frequency=670}
Word{word='asked', frequency=668}
Word{word='without', frequency=667}
Word{word='same', frequency=664}
Word{word='those', frequency=661}
Word{word='army', frequency=659}
Word{word='count', frequency=657}
Word{word='looked', frequency=651}
Word{word='say', frequency=640}
Word{word='nicholas', frequency=633}
Word{word='felt', frequency=630}
Word{word='our', frequency=622}
Word{word='first', frequency=621}
Word{word='where', frequency=617}
Word{word='mary', frequency=615}
Word{word='away', frequency=614}
Word{word='life', frequency=611}
Word{word='left', frequency=610}
Word{word='another', frequency=607}
Word{word='something', frequency=601}
Word{word='over', frequency=599}
Word{word='such', frequency=591}
Word{word='these', frequency=590}
Word{word='two', frequency=588}
Word{word='seemed', frequency=583}
Word{word='other', frequency=570}
Word{word='just', frequency=568}
Word{word='head', frequency=567}
Word{word='yes', frequency=561}
Word{word='little', frequency=557}
Word{word='day', frequency=549}
Word{word='am', frequency=545}
Word{word='why', frequency=542}
Word{word='hand', frequency=539}
Word{word='than', frequency=533}
Word{word='whole', frequency=532}
Word{word='people', frequency=531}
Word{word='dont', frequency=530}
Word{word='emperor', frequency=528}
Word{word='should', frequency=522}
Word{word='back', frequency=519}
Word{word='long', frequency=517}
Word{word='even', frequency=510}
Word{word='own', frequency=502}
Word{word='heard', frequency=498}
Word{word='having', frequency=494}
Word{word='way', frequency=492}
Word{word='because', frequency=490}
Word{word='countess', frequency=487}
Word{word='general', frequency=485}
Word{word='napoleon', frequency=485}
Word{word='here', frequency=484}
Word{word='look', frequency=475}
Word{word='must', frequency=472}
Word{word='can', frequency=468}
Word{word='nothing', frequency=466}
Word{word='any', frequency=465}
Word{word='always', frequency=464}
Word{word='saw', frequency=463}
Word{word='being', frequency=462}
Word{word='made', frequency=460}
Word{word='though', frequency=456}
Word{word='love', frequency=454}
Word{word='russian', frequency=454}
Word{word='right', frequency=450}
Word{word='kutuzov', frequency=449}
Word{word='young', frequency=442}
Word{word='suddenly', frequency=432}
Word{word='off', frequency=427}
Word{word='voice', frequency=425}
Word{word='round', frequency=424}
Word{word='us', frequency=423}
Word{word='officer', frequency=418}
Word{word='sonya', frequency=417}
Word{word='moment', frequency=415}
Word{word='smile', frequency=415}
Word{word='everything', frequency=414}
Word{word='knew', frequency=413}
Word{word='never', frequency=409}
Word{word='told', frequency=409}
Word{word='whom', frequency=406}
Word{word='while', frequency=399}
Word{word='took', frequency=397}
Word{word='house', frequency=396}
Word{word='words', frequency=395}
Word{word='much', frequency=394}
Word{word='looking', frequency=392}
Word{word='too', frequency=392}
Word{word='good', frequency=389}
Word{word='dear', frequency=385}
Word{word='turned', frequency=385}
Word{word='let', frequency=380}
Word{word='through', frequency=377}
Word{word='quite', frequency=376}
Word{word='tell', frequency=375}
Word{word='chapter', frequency=367}
Word{word='soldiers', frequency=367}
Word{word='under', frequency=366}
Word{word='denisov', frequency=365}
Word{word='think', frequency=358}
Word{word='get', frequency=357}
Word{word='once', frequency=357}
Word{word='battle', frequency=354}
Word{word='take', frequency=352}
Word{word='evidently', frequency=350}
Word{word='understand', frequency=349}
Word{word='yet', frequency=347}
Word{word='last', frequency=346}
Word{word='sat', frequency=345}
Word{word='every', frequency=336}
Word{word='father', frequency=334}
Word{word='door', frequency=331}
Word{word='herself', frequency=328}
Word{word='already', frequency=325}
Word{word='most', frequency=324}
Word{word='feeling', frequency=320}
Word{word='going', frequency=319}
Word{word='might', frequency=315}
Word{word='oh', frequency=315}
Word{word='others', frequency=313}
Word{word='behind', frequency=311}
Word{word='place', frequency=310}
Word{word='stood', frequency=308}
Word{word='gave', frequency=306}
Word{word='done', frequency=304}
Word{word='expression', frequency=301}
Word{word='replied', frequency=301}
Word{word='side', frequency=299}
Word{word='position', frequency=296}
Word{word='order', frequency=295}
Word{word='war', frequency=295}
Word{word='anna', frequency=293}
Word{word='boris', frequency=293}
Word{word='anything', frequency=292}
Word{word='toward', frequency=292}
Word{word='thats', frequency=290}
Word{word='dolokhov', frequency=287}
Word{word='horse', frequency=287}
Word{word='seen', frequency=287}
Word{word='new', frequency=283}
Word{word='give', frequency=278}
Word{word='may', frequency=278}
Word{word='make', frequency=274}
Word{word='put', frequency=271}
Word{word='also', frequency=268}
Word{word='front', frequency=265}
Word{word='god', frequency=265}
Word{word='hands', frequency=264}
Word{word='great', frequency=263}
Word{word='horses', frequency=263}
Word{word='ran', frequency=263}
Word{word='troops', frequency=262}
Word{word='both', frequency=261}
Word{word='three', frequency=259}
Word{word='talk', frequency=254}
Word{word='officers', frequency=252}
Word{word='soon', frequency=252}
Word{word='want', frequency=251}
Word{word='petya', frequency=250}
Word{word='wife', frequency=250}
Word{word='ill', frequency=248}
Word{word='shall', frequency=247}
Word{word='petersburg', frequency=244}
Word{word='shouted', frequency=244}
Word{word='taken', frequency=243}
Word{word='alone', frequency=242}
Word{word='between', frequency=240}
Word{word='whether', frequency=234}
Word{word='word', frequency=234}
Word{word='part', frequency=233}
Word{word='saying', frequency=233}
Word{word='many', frequency=232}
Word{word='things', frequency=231}
Word{word='son', frequency=230}
Word{word='letter', frequency=229}
Word{word='thing', frequency=229}
Word{word='called', frequency=228}
Word{word='along', frequency=227}
Word{word='mind', frequency=226}
Word{word='regiment', frequency=226}
Word{word='table', frequency=225}
Word{word='during', frequency=224}
Word{word='sent', frequency=224}
Word{word='against', frequency=223}
Word{word='rode', frequency=223}
Word{word='everyone', frequency=221}
Word{word='night', frequency=221}
Word{word='found', frequency=220}
Word{word='sitting', frequency=220}
Word{word='question', frequency=219}
Word{word='rostovs', frequency=217}
Word{word='among', frequency=216}
Word{word='entered', frequency=216}
Word{word='evening', frequency=216}
Word{word='moved', frequency=216}
Word{word='continued', frequency=215}
Word{word='speak', frequency=214}
Word{word='vasili', frequency=214}
